
> escuela-global-frontend@0.1.0 dev
> next dev

▲ Next.js 16.2.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.1.20:3000
- Environments: .env.local
✓ Ready in 1527ms

 GET /perfil 200 in 314ms (next.js: 27ms, proxy.ts: 51ms, application-code: 236ms)
 GET /perfil 200 in 320ms (next.js: 64ms, proxy.ts: 22ms, application-code: 234ms)
 GET /perfil 200 in 310ms (next.js: 19ms, proxy.ts: 57ms, application-code: 234ms)
 GET /perfil 200 in 329ms (next.js: 24ms, proxy.ts: 65ms, application-code: 240ms)
 GET /perfil 200 in 275ms (next.js: 61ms, proxy.ts: 18ms, application-code: 197ms)
 GET /perfil 200 in 315ms (next.js: 17ms, proxy.ts: 97ms, application-code: 201ms)
 GET /perfil 200 in 309ms (next.js: 19ms, proxy.ts: 55ms, application-code: 235ms)
 GET /perfil 200 in 272ms (next.js: 49ms, proxy.ts: 17ms, application-code: 205ms)
 GET /perfil 200 in 286ms (next.js: 17ms, proxy.ts: 44ms, application-code: 226ms)
 GET /perfil 200 in 400ms (next.js: 17ms, proxy.ts: 54ms, application-code: 329ms)
 GET /perfil 200 in 401ms (next.js: 55ms, proxy.ts: 54ms, application-code: 292ms)
 GET /perfil 200 in 399ms (next.js: 21ms, proxy.ts: 97ms, application-code: 281ms)
 GET /perfil 200 in 317ms (next.js: 70ms, proxy.ts: 16ms, application-code: 231ms)
 GET /perfil 200 in 357ms (next.js: 15ms, proxy.ts: 122ms, application-code: 220ms)
 GET /perfil 200 in 343ms (next.js: 17ms, proxy.ts: 53ms, application-code: 273ms)
 GET /perfil 200 in 347ms (next.js: 16ms, proxy.ts: 56ms, application-code: 274ms)
 GET /perfil 200 in 305ms (next.js: 58ms, proxy.ts: 13ms, application-code: 234ms)
 GET /perfil 200 in 348ms (next.js: 18ms, proxy.ts: 102ms, application-code: 227ms)
 GET /perfil 200 in 304ms (next.js: 67ms, proxy.ts: 14ms, application-code: 224ms)
 GET /perfil 200 in 298ms (next.js: 16ms, proxy.ts: 57ms, application-code: 225ms)
 GET /perfil 200 in 290ms (next.js: 17ms, proxy.ts: 58ms, application-code: 215ms)
 GET /perfil 200 in 317ms (next.js: 18ms, proxy.ts: 55ms, application-code: 244ms)
 GET /perfil 200 in 276ms (next.js: 61ms, proxy.ts: 13ms, application-code: 202ms)
 GET /perfil 200 in 318ms (next.js: 15ms, proxy.ts: 104ms, application-code: 199ms)
 GET /perfil 200 in 302ms (next.js: 15ms, proxy.ts: 48ms, application-code: 239ms)
 GET /perfil 200 in 274ms (next.js: 53ms, proxy.ts: 11ms, application-code: 210ms)
 GET /perfil 200 in 310ms (next.js: 19ms, proxy.ts: 53ms, application-code: 239ms)
 GET /perfil 200 in 263ms (next.js: 13ms, proxy.ts: 53ms, application-code: 197ms)
 GET /perfil 200 in 316ms (next.js: 55ms, proxy.ts: 51ms, application-code: 210ms)
